,id,text
0,1,"ゆにしすちゃんが全力でサポートするよ！
次のようなことを聞いてみてね！
質問/Tips/ニュース"
1,2,今日も頑張っててお疲れ様
2,3,君と会社で会えるのを楽しみにしているよ
